Página,Título,Conteúdo
https://www.computacao.ufcg.edu.br/?page_id=572,História," A Universidade Federal de Campina Grande (UFCG) foi criada pela Lei Nº. 10.419 de 09 de abril de 2002 , a partir do desmembramento de vários campi da Universidade Federal da Paraíba. Embora formalmente seja uma universidade relativamente nova, a história da UFCG remonta à antiga Escola Politécnica da Paraíba , a primeira instituição de ensino superior a se consolidar na cidade de Campina Grande. Criada em outubro de 1952 e autorizada a funcionar em julho de 1953, a POLI, como era chamada, recebeu os primeiros alunos do Curso de Engenharia Civil em 1954 e no início da década de 1960, alunos para os cursos de Engenharia Mecânica e Engenharia Elétrica. Em dezembro de 1960 a POLI e a Faculdade de Ciências Econômicas de Campina Grande passaram a compor o Campus II da Universidade Federal da Paraíba (UFPB). Ao longo de quatro décadas a UFPB estendeu sua atuação para mais cinco municípios paraibanos, vindo a ser desmembrada em 2002. Atualmente a UFPB tem campi em cinco municípios paraibanos, enquanto a UFCG tem campi em outros sete. O marco inaugural da computação na UFCG foi a instalação, em 1968, do primeiro computador em universidades do Norte e Nordeste do Brasil, um IBM 1130. Com a instalação do computador e a vinda de engenheiros recém-formados do Instituto Tecnológico de Aeronáutica (ITA), foram dadas as condições para a criação do Departamento de Sistemas e Computação, atual Unidade Acadêmica de Sistemas e Computação (UASC) da UFCG, e do Curso de Mestrado em Engenharia de Sistemas, em 1973.

Cabe especial destaque nessas iniciativas a participação do Eng. Mario Toyotaro Hattori, um dos baluartes da computação na UFCG, que foi o primeiro Diretor do Núcleo de Processamento de Dados, embrião do atual Serviços de Tecnologia da Informação (STI) da UFCG e professor do Departamento de Sistemas e Computação.   Inicialmente a UASC contou com a colaboração de professores canadenses das Universidades de Toronto e Wasterloo através dos Convênios de Cooperação CIDA/UFPB e CIDA/COMBRA encerrados em 1980. Esses convênios incluiam a aquisição de livros, o treinamento, em nível de doutorado, de docentes da UFCG e de outras universidades brasileiras e as visitas de professores canadenses, por períodos que variavam de três meses a um ano de permanência. Desde seu início, a história da computação da UFCG é marcada pela forte interação com a sociedade através da formação de recursos humanos para contribuir com a solução dos problemas regionais. Em 1973, em função da demanda da sociedade por profissionais qualificados na área de Computação e Informática e da competência já instalada, foi criado o Curso de Formação de Técnicos de Nível Superior em Processamento de Dados da UFPB, mesma época em que foram instalados os outros cursos também pioneiros no Brasil na PUC/RJ, UFMG e UFRGS. Em 1976 foi criado o Curso de Bacharelado em Ciência da Computação, que até 2023 já havia formado mais de 1.600 profissionais, e forma cerca de 120 novos profissionais a cada ano. Com a consolidação do curso de bacharelado, o tecnólogo foi extinto em 1990, tendo formado durante sua existência 381 tecnólogos em processamento de dados. O Curso de Mestrado em Engenharia de Sistemas passou a se chamar Mestrado em Informática no início da década de 1980 e Mestrado em Ciência da Computação em 2005, após a criação do Curso de Doutorado em Ciência da Computação, que marcou a consolidação do Programa de Pós-graduação em Ciência da Computação da UASC. Até 2023 a UASC já havia titulado cerca de 1.000 mestres e 150 doutores. Memória Serviços Ouvidoria Transparência Fale Conosco Memória Serviços Ouvidoria Transparência Fale Conosco Todos os direitos reservados © 2023 Universidade Federal de Campina Grande – PB – Desenvolvido por CodeX Jr – Conteúdo Criativo"
https://www.computacao.ufcg.edu.br/?page_id=711,Gestão da Unidade Acadêmica,Coordenação Executiva Colegiada Coordenadora Administrativa Profa. Eliane Cristina de Araújo Coordenador de Graduação Prof. Dalton Dario Serey Guerrero Coordenador de Pós-Graduação Prof. Leandro Balby Marinho Coordenador de Pesquisa e Extensão Prof. Francisco Vilar Brasileiro Secretarias Secretário da Unidade Acadêmica José Jackson Tomé dos Santos Secretária da Coordenação de Graduação Klébia Larubia Soares dos Santos Secretárias da Coordenação de Pós-Graduação Lyana Silva e Cavalcante Nascimento Paloma Nascimento Porto Memória Serviços Ouvidoria Transparência Fale Conosco Memória Serviços Ouvidoria Transparência Fale Conosco Todos os direitos reservados © 2023 Universidade Federal de Campina Grande – PB – Desenvolvido por CodeX Jr – Conteúdo Criativo
https://www.computacao.ufcg.edu.br/?page_id=805,Pessoas,Docentes Adalberto Cajueiro de Farias      Andrey Elísio Monteiro Brito      Carlos Eduardo Santos Pires      Carlos Wilson Dantas de Almeida      Cláudio de Souza Baptista      Cláudio Elízio Calazans Campelo      Dalton Dario Serey Guerrero      Demétrio Gomes Mestre      Eanes Torres Pereira      Eliane Cristina de Araújo      Elmar Uwe Kurt Melcher (licenciado)      Everton Leandro Galdino Alves      Fábio Jorge Almeida Morais      Francilene Procópio Garcia      Francisco Vilar Brasileiro      Franklin de Souza Ramalho      Giovanni Farias da Silva      Herman Martins Gomes      Hyggo Oliveira de Almeida (licenciado)      João Arthur Brunet Monteiro      Jorge César Abrantes de Figueiredo      Joseana Macêdo Fechine Régis de Araújo      José Antão Beltrão Moura      José Glauber Braz de Oliveira (substituto)      Leandro Balby Marinho      Lívia Maria Rodrigues Sampaio Campos      Marcelo Alves de Barros      Matheus Gaudencio do Rêgo (licenciado)      Maxwell Guimarães de Oliveira      Melina Mongiovi Brito Lira      Patrícia Duarte de Lima Machado      Reinaldo Cézar de Morais Gomes ( licenciado)      Ricardo Santos de Oliveira      Robert Kalley Cavalcanti de Menezes      Roberto Medeiros de Faria      Rohit Gheyi      Salatiel Dantas Silva      Thiago Emmanuel Pereira da Cunha Silva      Thiago Pereira da Nóbrega      Tiago Lima Massoni      Wilkerson de Lucena Andrade        Técnicos Administrativos em Educação Cláudio Antônio da Silva (Assistente em Administração)    Edimilson Camilo da Silva (Técnico em Audiovisual)    Edson Costa Cruz (Técnico em Tecnologia da Informação)    Eduardo Alves Lacerda Júnior (Assistente de Tecnologia da Informação)    José Jackson Tomé dos Santos (Secretário Executivo)    Klébia Larúbia Soares dos Santos (Secretária Executiva)    Lilian George Diniz (Assistente de Tecnologia da Informação)    Lyana Silva e Cavalcante Nascimento (Assistente em Administração)    Paloma Nascimento Porto (Assistente em Administração)      Ex-colaboradores Adalberto Francisco Monteiro Filho (docente substituto) Alberto José Ferreira de Lima (técnico transferido) Álvaro José de Castro (técnico transferido) Ána Lúcia Guimarães (técnica aposentada) Antônio Carlos de Albuquerque (docente transferido) Bernardo Lula Junior (docente aposentado) Bruno Correia da Nóbrega Queiroz (docente aposentado) Camilo de Lélis Gondim (docente falecido) Carlos Diego Quirino Lima (docente substituto) Carlos Tavares de Lima (técnico transferido) Cláudio Sebastião Vasconcelos da Cunha Cavalcanti (docente) Edilson Ferneda (docente transferido) Eliane George Diniz Farias (técnica transferida) Fábio Cândido da Silva (técnico transferido) Francisco de Assis Novais Costa (docente aposentado) Francisco Gomes de Oliveira Neto (docente) Giuseppe Mongiovi (docente aposentado) Gustavo Araújo Soares (docente) Hazencleve Freire de Medeiros (docente aposentado) Hélio de Menezes Silva (docente aposentado) Jacques Philippe Sauvé (docente aposentado) João Alves de Lima (técnico transferido) Joeci de Farias Lima (técnica aposentada) José Albos Rodrigues (docente aposentado) José Arnaldo Paulino Dantas (técnico transferido) José Ataíde da Silva (técnico transferido) José Eustáquio Rangel Queiroz (docente aposentado) José Marcelo M. Rodrigues (técnico falecido) Josefa Benedito dos Santos (técnica aposentada) Joseluce de Farias Cunha (docente aposentada) Josenilda da Silva Travassos (técnica aposentada) Josenita Ramos Luna (técnica aposentada) Josirene da Silva Henrique Barbosa (técnica transferida) Maggy Rodrigues de Macêdo (técnica transferida) Marco Aurélio Spohn (docente transferido) Marcus Costa Sampaio (docente aposentado) Marcus Salerno de Aquino (docente aposentado) Maria de Fátima do Nascimento (técnica aposentada) Maria da Guia Macêdo (técnica transferida) Maria das Graças Mongiovi (técnica transferida) Maria Izabel Cavalcanti Cabral (docente aposentada) Nazareno Ferreira de Andrade (docente) Pedro Sérgio Nicolletti (docente aposentado) Raquel Vigolvino Lopes (docente transferida) Rebeka Priscila Lemos Nunes Borinelli (técnica transferida) Sebastião Arthur Ferreira (técnico aposentado) Tanielzy Lela Araújo  (técnica transferida) Terezinha Gonzaga de Araújo (técnica aposentada) Ulrich Schiel (docente aposentado) Vera Lúcia de Oliveira Cruz (técnica aposentada) Victor Emanuel Farias da Costa Borges (docente substituto) Walfredo da Costa Cirne Filho (docente) Wanderley Lopes de Souza (docente transferido) Zeneide Medeiros de Leal (técnica transferida) Memória Serviços Ouvidoria Transparência Fale Conosco Memória Serviços Ouvidoria Transparência Fale Conosco Todos os direitos reservados © 2023 Universidade Federal de Campina Grande – PB – Desenvolvido por CodeX Jr – Conteúdo Criativo
https://www.computacao.ufcg.edu.br/?page_id=813,Infraestrutura," A infraestrutura da UASC está distribuída em 8 blocos do Campus Sede da UFCG, localizado em Campina Grande. Essa infraestrutura contempla salas de aula (blocos CAA, CD, REENGE, Edifício Camilo de Lelis Gondim Medeiros), laboratórios de ensino (Edifício Camilo de Lelis Gondim Medeiros e bloco REENGE), laboratórios de desenvolvimento, pesquisa e inovação (blocos, CN, CO, e CQ), escritórios dos docentes (blocos CN, CO e CQ) e instalações administrativas (Edifício Telmo Araújo, Edifício Camilo de Lelis Gondim Medeiros e bloco CN). Laboratórios de Ensino A UASC tem atualmente 4 laboratórios de ensino , sendo três dedicados a dar suporte às atividades do curso de graduação em ciência da computação (LCC1, LCC2 e LCC3, localizados no Edifício Camilo de Lelis Gondim Medeiros) e um dedicado ao ensino de disciplinas de programação e iniciação à computação para outros cursos da UFCG (RE-10, localizado no bloco REENGE). O LCC1 e o LCC2 dispõem de 55 computadores, cada, enquanto que o LCC3 está equipado com 120 computadores. O RE-10, por sua vez, tem 60 computadores instalados.   Laboratórios de Pesquisa, Desenvolvimento e Inovação Os Laboratórios de Pesquisa, Desenvolvimento e Inovação (LPD&I) são espaços físicos que abrigam equipamentos, recursos humanos e materiais adequados à realização de projetos de Pesquisa, Desenvolvimento e Inovação (PD&I). São estruturados a partir da interação de um conjunto de docentes que atuam de forma integrada ou cooperativa na execução de Projetos de PD&I, com a participação de discentes dos cursos de graduação e pós-graduação suportados pela UASC. Os LPD&I são estruturas autossustentáveis, através da captação de recursos extraorçamentários pela execução de projetos de PD&I e por outros mecanismos, definidos na legislação pertinente, apresentando um fluxo perene de atividades que: i) impactem positivamente nas atividades fins da UASC, sobretudo na formação de recursos humanos; ii) gerem resultados mensuráveis que impactem positivamente a avaliação do curso de graduação, do programa de pós-graduação e, em última instância, a imagem da UASC intra e extramuros. Além das atividades inerentes à execução de projetos de PD&I, outras atividades de ensino e de extensão podem ser realizadas, de forma complementar, no âmbito de um LPD&I. Atualmente a UASC conta com os seguintes LPD&I: Laboratório de Computação Inteligente Aplicada (LACINA) Laboratório de Inteligência Artificial e Arquiteturas Dedicadas (LIAD) Laboratório de Práticas de Software (SPLab) Laboratório de Sistemas Distribuídos (LSD) Laboratório de Sistemas de Informação (LSI) Laboratório de Sistemas Inteligentes (Brain) Núcleo de Transformação Digital O Núcleo de Transformação Digital é um órgão de apoio acadêmico-administrativo da UFCG, vinculado à UASC, com características de Núcleo de Extensão Universitária.

O núcleo tem como objetivos fomentar e gerenciar a oferta e a realização de atividades de extensão universitária no âmbito da UASC, com a participação ativa de seus docentes, técnicos e dos discentes vinculados aos cursos por ela suportados.

São atribuições do Núcleo: i) prospectar, junto à comunidade externa, demandas por atividades de extensão universitária no âmbito local, regional e nacional; ii) estimular a cooperação da UASC com parceiros externos à comunidade acadêmica, mediante a definição de acordos, convênios, projetos e outros instrumentos formais, para realização de atividades de extensão universitária; iii) prover infraestrutura adequada para o planejamento e a execução de atividades de extensão universitária; iv) divulgar amplamente as atividades de extensão universitária ofertadas pela UASC, bem como os resultados das atividades realizadas que sejam passíveis de divulgação; e, v) acompanhar e avaliar as atividades de extensão universitária planejadas, ofertadas e realizadas pela UASC. Memória Serviços Ouvidoria Transparência Fale Conosco Memória Serviços Ouvidoria Transparência Fale Conosco Todos os direitos reservados © 2023 Universidade Federal de Campina Grande – PB – Desenvolvido por CodeX Jr – Conteúdo Criativo"
https://www.computacao.ufcg.edu.br/?page_id=724,Contatos,"Unidade Acadêmica de Sistemas e Computação Endereço: Universidade Federal de Campina Grande, Av. Aprígio Veloso, 882, Bloco CP , Bodocongó, 58.109-970, Campina Grande, PB Telefone: +55 (83) 2101 1811 E -mail: secadm@computacao.ufcg.edu.br Curso de Graduação em Ciência da Computação Endereço: Universidade Federal de Campina Grande, Av. Aprígio Veloso, 882, Edifício Telmo Araújo , Bodocongó, 58.109-970, Campina Grande, PB Telefone: +55 (83) 2101 1027 E -mail: secgrad@computacao.ufcg.edu.br Programa de Pós-graduação em Ciência da Computação Endereço: Universidade Federal de Campina Grande, Av. Aprígio Veloso, 882, Edifício Telmo Araújo , Bodocongó, 58.109-970, Campina Grande, PB Telefone: +55 (83) 2101 112 3 +55 83 2101 1124 E -mail: secpg@computacao.ufcg.edu.br Núcleo de Transformação Digital Endereço: Universidade Federal de Campina Grande, Av. Aprígio Veloso, 882, Bloco CP , Bodocongó, 58.109-970, Campina Grande, PB E -mail: ntd@computacao.ufcg.edu.br Memória Serviços Ouvidoria Transparência Fale Conosco Memória Serviços Ouvidoria Transparência Fale Conosco Todos os direitos reservados © 2023 Universidade Federal de Campina Grande – PB – Desenvolvido por CodeX Jr – Conteúdo Criativo"
https://www.computacao.ufcg.edu.br/?page_id=650,O Curso de Graduação em Ciência da Computação,"Criado em 1976, o curso de Bacharelado em Ciência da Computação da UFCG é um dos mais antigos do Brasil. Durante toda a sua trajetória, o curso se mantém como um dos mais bem avaliados do país, tanto considerando o ENADE (Exame Nacional de Desempenho dos Estudantes) — a avaliação oficial realizada a cada três anos pelo Ministério da Educação , quanto a avaliação feita por publicações especializadas, que buscam auxiliar estudantes do ensino médio a escolher cursos universitários, como o Guia do Estudante, publicado pela Editora Abril até 2018, e o Guia da Faculdade , compilado e publicado pela parceria entre a Quero Educação e o jornal O Estado de São Paulo , a partir de 2019. Naturalmente, dada a rápida evolução característica da área, o curso passou por várias reformas curriculares desde sua criação. A última reforma curricular de maior impacto foi implantada em 2018, criando o conceito de trilhas de formação. Além de um núcleo comum de disciplinas fundamentais para a formação em Ciência da Computação, o curso oferece um elenco de mais de 50 disciplinas optativas, que moldam o perfil de cada egresso, de acordo com suas preferências. Em 2023 o curso passou por uma nova reformulação para atender a necessidade de inserção de atividades acadêmicas de extensão na formação de seus egressos.  Memória Serviços Ouvidoria Transparência Fale Conosco Memória Serviços Ouvidoria Transparência Fale Conosco Todos os direitos reservados © 2023 Universidade Federal de Campina Grande – PB – Desenvolvido por CodeX Jr – Conteúdo Criativo"
https://www.computacao.ufcg.edu.br/?page_id=1112,Atividades Complementares Flexíveis e Acadêmicas de Extensão,"O que são atividades complementares flexíveis? Durante a graduação, o(a) discente do curso de Ciência da Computação deve envolver-se em atividades complementares cujo intuito seja, naturalmente, complementar a sua formação além das disciplina obrigatórias e optativas. Por exemplo, espera-se que os(as) discentes façam estágio, participem de Programas Institucionais (PIBIC, PET, PROBEX e Monitoria), Projetos de Pesquisa, Desenvolvimento e Inovação (PD&I, reconhecidos pela UFCG) e eventos da área de computação, entre outras atividades. O que são atividades acadêmicas de extensão? São um tipo particular de atividade complementar flexível em que membros externos à comunidade estão envolvidos. Além disso, o(a) discente precisa ser protagonista na realização dessas atividades. Por exemplo, participar de um curso de extensão na qualidade de aluno(a) do curso não é uma atividade acadêmica de extensão. Por outro lado, se o(a) discente lecionar, mentorar, ou mesmo atuar como monitor(a) de um curso de extensão para um público que inclui pessoas externas à comunidade acadêmica, ele(a) estará realizando uma atividade acadêmica de extensão. Um outro exemplo de atividade acadêmica de extensão é participar da equipe de execução de um projeto de desenvolvimento, pesquisa e/ou inovação, que envolva o interesse de parceiros externos à UFCG. Quantos créditos nessas atividades preciso aproveitar para me formar? Os discentes que estão cursando o currículo antigo (o de 2017) precisam realizar atividades complementares flexíveis que sejam equivalentes a um mínimo de 22 créditos, ou 330 horas. A definição das atividades que se enquadram nessa categoria, bem como outras especificidades deste assunto estão formalizados na Resolução 02/2023 . Já os discentes cursnado o currículo atual (o de 2023) precisam realizar atividades complementares flexíveis que sejam equivalentes a um mínimo de 30 créditos, ou 450 horas. Além disso, dos 30 créditos (450 horas), 22 (330 horas) precisam ser em atividades acadêmicas de extensão. Essas atividades estão definidas na Resolução 01/2023 . Quem pode pedir? Qualquer aluno regularmente matriculado no curso de Bacharelado em Ciência da Computação da UFCG/CEEI/UASC, desde que tenha participado de uma das atividades acima citadas na regulamentação. Você não precisa ter sido bolsista para solicitar o aproveitamento de créditos; é possível também para quem participou dos projetos na condição de voluntário. Quando pedir aproveitamento de atividades complementares? Faça o pedido, assim que você concluir as atividades equivalentes ao número de créditos necessários. Idealmente, até a última semana do seu penúltimo semestre no curso (o semestre anterior ao qual vai concluir). Isso é necessário para que o sistema de matrículas considere você um concluinte no ato de sua última matrícula, de forma que você possa ter a prioridade de matrícula apropriada para um concluinte. Importante : o pedido de aproveitamento passa por um relator e deve ser aprovado em reunião pelo colegiado. Pedidos tardios no último período podem não ser processados a tempo e, por consequência, podem atrasar a sua colação de grau. Se você participou de alguma atividade que não está listada na tabela da Resolução, mas que considera ser uma atividade complementar, ela pode ser categorizada no Item “Outras Atividades”. Nesses casos, o colegiado irá deliberar sobre o seu pedido. Como será avaliado? A sua solicitação de aproveitamento de atividades complementares será avaliada pelo colegiado do curso nos seguintes aspectos: (i) será verificado se as atividades complementares de que você participou realmente se enquadram nas atividades que permitem o aproveitamento de créditos; (ii) será verificado se a quantidade de créditos de aproveitamento de  atividades complementares que você está solicitando é de fato coberta pelas atividades que você realizou. Como pedir? Para ter as atividades complementares aproveitadas e integralizadas ao currículo, você deve encaminhar um processo formal de aproveitamento de atividades complementares à Coordenação de Curso via SEI. Na sua solicitação devem constar: (i) uma tabela contendo listagem numerada das atividades realizadas; para cada atividade, descreva a atividade  de ser descrita e o número de créditos pretendidos, como exemplificado abaixo; e (ii) os documentos comprobatórios de todas as atividades incluídas na tabela anterior (é importante também numerar os comprovantes para facilitar o mapeamento entre a listagem e os documentos). Tipo de Atividade Descrição Atividade Período Créditos Comprovação 3. Participação em Monitoria Reconhecida Institucionalmente pela UFCG. Disciplina xxx De XX/YY/ZZZZ a XX/YY/ZZZZ (W semestres) X Página Z 2. Participação em Projeto de Pesquisa e Desenvolvimento Reconhecido Institucionalmente pela UFCG. Título do projeto De XX/YY/ZZZZ a XX/YY/ZZZZ (W semestres) Y Página W Modelo de declarações para Projetos P&D O coordenador do projeto deve elaborar a declaração incluindo: nome completo do aluno; identificação do aluno, título e orientador do projeto carga horária datas de início e término das atividades (caso concluído). Essa declaração deve ser assinada pelo orientador e pelo coordenador de pesquisa e extensão da unidade. É importante ressaltar que as declarações só serão assinadas pelo coordenador de pesquisa e extensão mediante alguma comprovação do projeto mencionado. Idealmente, essa comprovação será dada pelo cadastro do projeto na base de dados mantida pela unidade com esse propósito. Se o projeto não estiver cadastrado na base de dados, o coordenador deve fornecer a documentação adequada para esse cadastro. Memória Serviços Ouvidoria Transparência Fale Conosco Memória Serviços Ouvidoria Transparência Fale Conosco Todos os direitos reservados © 2023 Universidade Federal de Campina Grande – PB – Desenvolvido por CodeX Jr – Conteúdo Criativo"
https://www.computacao.ufcg.edu.br/?page_id=1117,Programas Institucionais,"PET – Programa de Educação Tutorial O PET – Programa de Educação Tutorial – foi criado e implantado em 1979, com o nome inicial de Programa Especial de Treinamento, pela CAPES. A partir do ano 2000, o programa passou a ser vinculado à Secretaria de Educação Superior – SESu/MEC. Caracterizado pela atuação na tríade de uma universidade (a pesquisa, o ensino e a extensão), o Programa de Educação Tutorial é destinado a grupos de alunos que demonstrem potencial, interesse e habilidades destacadas em cursos de graduação das Instituições de Ensino Superior. Espera-se do aluno capacidade de leitura, pesquisa, iniciativa, crítica, trabalho em equipe, expressão oral e argumentação. O Grupo PET Computação da UFCG (outrora Universidade Federal da Paraíba – UFPB, Campus II) foi implantado em abril de 1992 sob a tutoria da Profa. Dra. Maria de Fátima Camêlo, que permaneceu durante quase seis anos. Desde então, os professores Jacques Sauvé, Francilene Procópio, Joseana Fechine e Livia Sampaio também foram tutores do programa. Atualmente, o grupo está sob a tutoria do professor Marcelo Barros. O PET Computação tem desenvolvido atividades de ensino, pesquisa e extensão, com a colaboração de professores do DSC que atuam como colaboradores do grupo. Muitas atividades são voltadas para a graduação em Ciência da Computação com o intuito de colaborar para a excelência do curso. Da mesma forma, é objetivo do grupo colaborar com a promoção da carreira em computação, atraindo jovens do ensino médio para o curso. Saiba mais sobre o PET Computação da UFCG, incluindo história, atividades sendo desenvolvidas, publicações, agenda e documentos como relatórios e planejamento anual, acesssando nosso site ou pelas redes sociais: site: www.dsc.ufcg.edu.br/~pet facebook: /PET-Computação-UFCG email: pet@computacao.ufcg.edu.br Programa de Monitoria O Programa de Monitoria do DSC existe há mais de 30 anos, dando suporte às disciplinas oferecidas pelo departamento no sentido de colaborar para a melhoria do processo ensino-aprendizagem dos alunos nessas disciplinas e suscitar vocações para docência e pesquisa entre os monitores. Além disso, favorece a comunicação e cooperação entre docentes e discentes. Esta página contém informações úteis sobre este Programa para toda a comunidade do curso de Ciência da Computação. Tais informações incluem: objetivos do Programa de Monitoria do DSC; direitos e deveres do monitor e professor-orientador; editais; projeto de monitoria do DSC 2014 (projeto do departamento, projetos de disciplinas, resultados, etc.). Se você é um monitor recém aprovado, não deixe de olhar nosso guia orientações para os monitores sobre a contratação e escrita dos relatórios sobre as atividades de monitoria. Memória Serviços Ouvidoria Transparência Fale Conosco Memória Serviços Ouvidoria Transparência Fale Conosco Todos os direitos reservados © 2023 Universidade Federal de Campina Grande – PB – Desenvolvido por CodeX Jr – Conteúdo Criativo"
https://www.computacao.ufcg.edu.br/?page_id=1278,Trabalho de Conclusão de Curso,"A realização do Trabalho de Conclusão de Curso (TCC) é uma atividade obrigatória e realizada de forma individual por cada aluno(a), sob a orientação de um(a) professor(a) do curso. Essa atividade, introduzida na reforma do Projeto Pedagógico realizada em 2017, tem como objetivo demonstrar o domínio, por parte do(a) aluno(a), sobre os conhecimentos adquiridos em disciplinas do Projeto Pedagógico do Curso que definem a habilitação profissional no Bacharelado em Ciência da Computação. Sua regulamentação está descrita na Resolução 01/2019 do Colegiado do Curso de Graduação em Ciência da Computação da UFCG. Todos os TCCs aprovados são publicados na Biblioteca Digital da UFCG. Memória Serviços Ouvidoria Transparência Fale Conosco Memória Serviços Ouvidoria Transparência Fale Conosco Todos os direitos reservados © 2023 Universidade Federal de Campina Grande – PB – Desenvolvido por CodeX Jr – Conteúdo Criativo Lorem ipsum dolor sit amet, consectetur adipiscing elit. Ut elit tellus, luctus nec ullamcorper mattis, pulvinar dapibus leo."
https://www.computacao.ufcg.edu.br/?page_id=1127,Normas da Graduação,Gerais da UFCG Regulamento Geral da Graduação (Resolução CSE 26/2007) Monitoria (Resolução CSE 07/2024) Elaboração e alteração de Projeto Pedagógico de Curso (PPC) (Resolução CSE 12/2023) Revalidação de diploma estrangeiro (Resolução CSE 03/2023) Colação de grau (Resolução CSE 01/2023) Estágio (Resolução CSE 16/2022) Curricularização da extensão (Resolução CSE 14/2022) Diploma digital (Resolução CSE 09/2022) Diploma digital (Portaria PRE 15/2022) Regime domiciliar (Resolução CSE 10/2019) Antecipação de estudos (Portaria PRE 20/2022) Desvínculo/Reativação de vínculo (Resolução CSE 06/2018) Desvínculo/Reativação de vínculo (Resolução CSE 06/2021) Específicas do Curso Projeto Político Pedagógico do Currículo 2023 Portaria de Adaptação do Currículo 2023 Atividades Complementares e de Extensão do Currículo 2023 (Resolução CCGCC 01/2023) Projeto Político Pedagógico do Currículo 2017 Portaria de Adaptação do Currículo 2017 Atividades Complementares do Currículo 2017 (Resolução CCGCC 02/2023) Estágio (Resolução 01/2020) Trabalho de Conclusão de Curso (Resolução 01/2019) Memória Serviços Ouvidoria Transparência Fale Conosco Memória Serviços Ouvidoria Transparência Fale Conosco Todos os direitos reservados © 2023 Universidade Federal de Campina Grande – PB – Desenvolvido por CodeX Jr – Conteúdo Criativo
